Game 289,07/12/2023,Wednesday,7:00 pm,Marblehead,North End,Puopolo Park,Scheduled
Game 291,07/12/2023,Wednesday,7:00 pm,Winchester,Chelmsford Black,Volunteer Field,Scheduled
Game 293,07/12/2023,Wednesday,7:00 pm,Chelmsford Maroon,Lincoln-Sudbury,Feeley Field,Scheduled
Game 288,07/12/2023,Wednesday,7:30 pm,Reading Red,Cambridge,St Peters,Scheduled
Game 298,07/13/2023,Thursday,5:45 pm,Melrose,Marblehead,Seaside Park,Scheduled
Game 299,07/13/2023,Thursday,5:45 pm,North End,North Andover,Grogans Field,Scheduled
Game 300,07/13/2023,Thursday,5:45 pm,Medford,Andover,Doherty Middle School,Scheduled
Game 301,07/13/2023,Thursday,5:45 pm,Haverhill,Reading Red,Morton Field,Scheduled
Game 302,07/13/2023,Thursday,5:45 pm,Reading Black,Winthrop,Winthrop High School,Scheduled
Game 303,07/13/2023,Thursday,5:45 pm,Wayland,Bedford,Bedford High School - A Field,Scheduled
Game 307,07/13/2023,Thursday,5:45 pm,Lincoln-Sudbury,Acton-Boxborough,ABRHS Field 2,Scheduled
Game 308,07/13/2023,Thursday,5:45 pm,Chelmsford Maroon,Winchester,Skillings Field,Scheduled
Game 304,07/13/2023,Thursday,6:30 pm,Waltham,Jamaica Plain,Billings Field,Scheduled
Game 305,07/13/2023,Thursday,7:00 pm,Needham,Billerica,Locke School - Fielding Field,Scheduled
Game 306,07/13/2023,Thursday,7:00 pm,Belmont,Chelmsford Black,Volunteer Field,Scheduled
Game 297,07/13/2023,Thursday,7:30 pm,Brookline,Cambridge,St Peters,Scheduled
Game 239,07/14/2023,Friday,5:45 pm,Marblehead,Winthrop,Winthrop High School,Scheduled
Game 281,07/14/2023,Friday,5:45 pm,Bedford,Chelmsford Black,Bedford HS Varsity Field,Rain-Out
Game 212,07/17/2023,Monday,5:30 pm,Cambridge,Melrose,St Peters,Scheduled
Game 310,07/17/2023,Monday,5:45 pm,Andover,Reading Red,Symonds Field,Scheduled
Game 312,07/17/2023,Monday,5:45 pm,North End,Brookline,Amory Field,Scheduled
Game 313,07/17/2023,Monday,5:45 pm,Winthrop,Medford,Playstead Park,Scheduled
Game 314,07/17/2023,Monday,5:45 pm,Haverhill,North Andover,Grogans Field,Scheduled
Game 315,07/17/2023,Monday,5:45 pm,Jamaica Plain,Winchester,Skillings Field,Scheduled
Game 318,07/17/2023,Monday,5:45 pm,Needham,Bedford,Emerson Field Stow St Concord,Scheduled
Game 319,07/17/2023,Monday,5:45 pm,Chelmsford Maroon,Belmont,Town Field,Scheduled
Game 316,07/17/2023,Monday,7:00 pm,Acton-Boxborough,Chelmsford Black,Volunteer Field,Scheduled
Game 311,07/17/2023,Monday,7:30 pm,Melrose,Cambridge,St Peters,Scheduled
Game 317,07/17/2023,Monday,7:45 pm,Wayland,Waltham,Cacciatore Field ,Scheduled
Game 320,07/18/2023,Tuesday,5:45 pm,Billerica,Lincoln-Sudbury,Haskell Field,Scheduled
Game 321,07/18/2023,Tuesday,6:30 pm,Winthrop,Haverhill,East Boston Memorial ,Scheduled
Game 322,07/19/2023,Wednesday,5:45 pm,North End,Medford,Playstead Park,Scheduled
Game 323,07/19/2023,Wednesday,5:45 pm,Cambridge,North Andover,Grogans Field,Scheduled
Game 324,07/19/2023,Wednesday,5:45 pm,Haverhill,Brookline,Warren Field,Scheduled
Game 326,07/19/2023,Wednesday,5:45 pm,Marblehead,Andover,Andover High School,Scheduled
Game 327,07/19/2023,Wednesday,5:45 pm,Needham,Belmont,Town Field,Scheduled
Game 329,07/19/2023,Wednesday,5:45 pm,Lincoln-Sudbury,Bedford,Concord Carlise HS,Scheduled
Game 332,07/19/2023,Wednesday,5:45 pm,Winchester,Waltham,Cacciatore Field ,Scheduled
Game 328,07/19/2023,Wednesday,7:00 pm,Wayland,Billerica,Locke School - Fielding Field,Scheduled
Game 330,07/19/2023,Wednesday,7:00 pm,Chelmsford Maroon,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 331,07/19/2023,Wednesday,7:00 pm,Jamaica Plain,Chelmsford Black,Volunteer Field,Scheduled
Game 228,07/20/2023,Thursday,4:00 pm,Reading Red,Reading Black,Washington Park,Scheduled
Game 334,07/20/2023,Thursday,5:45 pm,Haverhill,Medford,Playstead Park,Cancelled
Game 335,07/20/2023,Thursday,5:45 pm,Reading Black,Reading Red,Washington Park,Scheduled
Game 336,07/20/2023,Thursday,5:45 pm,Cambridge,Andover,Andover High School,Scheduled
Game 337,07/20/2023,Thursday,5:45 pm,Marblehead,Brookline,Warren Field,Scheduled
Game 338,07/20/2023,Thursday,5:45 pm,North Andover,Winthrop,Winthrop High School,Scheduled
Game 340,07/20/2023,Thursday,5:45 pm,Belmont,Lincoln-Sudbury,Haskell Field,Scheduled
