Game 664,08/01/2023,Tuesday,7:30 pm,Winthrop,Cambridge,St Peters,Scheduled
Game 570,08/02/2023,Wednesday,5:45 pm,Arlington,Woburn,Spy Pond Field,Scheduled
Game 598,08/02/2023,Wednesday,5:45 pm,Andover,Wayland,Wayland High School,Scheduled
Game 633,08/02/2023,Wednesday,5:45 pm,Reading Black,Cambridge,St Peters,Scheduled
Game 667,08/02/2023,Wednesday,5:45 pm,Melrose,Marblehead,Seaside Park,Scheduled
Game 666,08/02/2023,Wednesday,6:30 pm,Winthrop,Maynard/Stow,Crowe Park,Scheduled
Game 668,08/03/2023,Thursday,5:30 pm,Wayland,Waltham,Cacciatore Field ,Scheduled
Game 671,08/03/2023,Thursday,5:45 pm,Chelmsford,Andover,Andover High School,Scheduled
Game 672,08/03/2023,Thursday,5:45 pm,Lincoln-Sudbury,North Andover,Grogans Field,Scheduled
Game 673,08/03/2023,Thursday,5:45 pm,Marblehead,Cambridge,Rindge Field,Scheduled
Game 674,08/03/2023,Thursday,5:45 pm,Reading Black,Winthrop,Winthrop High School,Scheduled
Game 675,08/03/2023,Thursday,5:45 pm,Brookline,Winchester,Skillings Field,Scheduled
Game 676,08/03/2023,Thursday,5:45 pm,Reading Red,Woburn,Woburn High School,Scheduled
Game 677,08/03/2023,Thursday,5:45 pm,Maynard/Stow,Arlington,Spy Pond Park,Scheduled
Game 669,08/03/2023,Thursday,7:00 pm,Wayland/Weston,Billerica,Locke School-Fielding Field,Cancelled
Game 670,08/03/2023,Thursday,7:00 pm,Belmont,Acton-Boxborough,ABRHS Field 1,Scheduled
Game 577,08/03/2023,Thursday,7:30 pm,Waltham,Wayland,Cacciatore Field,Scheduled
Game 680,08/07/2023,Monday,12:00 am,8 Seed,1 Seed,"",Scheduled
Game 681,08/07/2023,Monday,12:00 am,5 Seed,4 Seed,"",Scheduled
Game 682,08/07/2023,Monday,12:00 am,7 Seed,2 Seed,"",Scheduled
Game 683,08/07/2023,Monday,12:00 am,6 Seed,3 Seed,"",Scheduled
Game 684,08/08/2023,Tuesday,12:00 am,Winner Game 680,Winner Game 681,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 685,08/08/2023,Tuesday,12:00 am,Winner Game 682,Winner Game 683,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 686,08/08/2023,Tuesday,12:00 am,Loser Game 680,Loser Game 681,Loser Eliminated,Scheduled
Game 687,08/08/2023,Tuesday,12:00 am,Loser Game 682,Loser Game 683,Loser Eliminated,Scheduled
Game 688,08/10/2023,Thursday,12:00 am,Loser Game 684,Winner Game 686,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 689,08/10/2023,Thursday,12:00 am,Loser Game 685,Winner Game 687,Winner Advances to Final Four Saturday 8/12,Scheduled
Game 690,08/12/2023,Saturday,10:00 am,Lowest Remaining Seed,Highest Remaining Seed,Pine Banks Turf,Scheduled
Game 691,08/12/2023,Saturday,10:00 am,2nd Lowest Remaining Seed,2nd Highest Remaining Seed,Pine Banks Grass,Scheduled
Game 692,08/13/2023,Sunday,9:30 am,Winner Game 688,Winner Game 689,Morelli Field,Scheduled
